synagogue_id,synagogue_name,status,founded_year,founded_text,closed_year,closed_text,street_address,neighborhood,city,state,zip_code,latitude,longitude,address_is_current,rabbi_name,rabbi_title,rabbi_start_year,rabbi_end_year,history_content,entry_type,history_year
1ef846bd-e5ed-41af-a3ba-bcd5f5d1b4a2,Adath Jeshurun,active,1854,1854,null,Active,2109 N Broad St,null,Philadelphia,PA,null,null,null,false,Max Klein,null,1910,1960,"Founded by Wolf Ettinger and Moses Blumenthal with services held at Horner's Hall, 3rd & Brown. Purchased land in Frankford for a burial ground. In 1865 acquired synagogue building at NewMarket & Noble Sts. from Keneseth Israel . Ten years later moved to the Juliana St. Synagogue & merged with Adas Israel. Built a synagogue in 1885 at 7th & Columbia. Dedicated larger building at Broad & Diamond in 1912; enlarged and rededicated in 1926. Present Synagogue in Elkins Park was dedicated in 1964. By the early 1880's, had Reform orientation, and by 1900 under rabbi Klein, became Conservative. [Central European & German- speaking]",ethnic_origin,null
1ef846bd-e5ed-41af-a3ba-bcd5f5d1b4a2,Adath Jeshurun,active,1854,1854,null,Active,3rd & Brown Sts,null,Philadelphia,PA,null,null,null,false,Max Klein,null,1910,1960,"Founded by Wolf Ettinger and Moses Blumenthal with services held at Horner's Hall, 3rd & Brown. Purchased land in Frankford for a burial ground. In 1865 acquired synagogue building at NewMarket & Noble Sts. from Keneseth Israel . Ten years later moved to the Juliana St. Synagogue & merged with Adas Israel. Built a synagogue in 1885 at 7th & Columbia. Dedicated larger building at Broad & Diamond in 1912; enlarged and rededicated in 1926. Present Synagogue in Elkins Park was dedicated in 1964. By the early 1880's, had Reform orientation, and by 1900 under rabbi Klein, became Conservative. [Central European & German- speaking]",ethnic_origin,null
1ef846bd-e5ed-41af-a3ba-bcd5f5d1b4a2,Adath Jeshurun,active,1854,1854,null,Active,Juliana St,null,Philadelphia,PA,null,null,null,false,Max Klein,null,1910,1960,"Founded by Wolf Ettinger and Moses Blumenthal with services held at Horner's Hall, 3rd & Brown. Purchased land in Frankford for a burial ground. In 1865 acquired synagogue building at NewMarket & Noble Sts. from Keneseth Israel . Ten years later moved to the Juliana St. Synagogue & merged with Adas Israel. Built a synagogue in 1885 at 7th & Columbia. Dedicated larger building at Broad & Diamond in 1912; enlarged and rededicated in 1926. Present Synagogue in Elkins Park was dedicated in 1964. By the early 1880's, had Reform orientation, and by 1900 under rabbi Klein, became Conservative. [Central European & German- speaking]",ethnic_origin,null
1ef846bd-e5ed-41af-a3ba-bcd5f5d1b4a2,Adath Jeshurun,active,1854,1854,null,Active,Juliana St,null,Philadelphia,PA,null,null,null,false,Seymour Rosenbloom,null,null,null,"Founded by Wolf Ettinger and Moses Blumenthal with services held at Horner's Hall, 3rd & Brown. Purchased land in Frankford for a burial ground. In 1865 acquired synagogue building at NewMarket & Noble Sts. from Keneseth Israel . Ten years later moved to the Juliana St. Synagogue & merged with Adas Israel. Built a synagogue in 1885 at 7th & Columbia. Dedicated larger building at Broad & Diamond in 1912; enlarged and rededicated in 1926. Present Synagogue in Elkins Park was dedicated in 1964. By the early 1880's, had Reform orientation, and by 1900 under rabbi Klein, became Conservative. [Central European & German- speaking]",ethnic_origin,null
1ef846bd-e5ed-41af-a3ba-bcd5f5d1b4a2,Adath Jeshurun,active,1854,1854,null,Active,2109 N Broad St,null,Philadelphia,PA,null,null,null,false,S. Breidenbach,null,null,null,"Founded by Wolf Ettinger and Moses Blumenthal with services held at Horner's Hall, 3rd & Brown. Purchased land in Frankford for a burial ground. In 1865 acquired synagogue building at NewMarket & Noble Sts. from Keneseth Israel . Ten years later moved to the Juliana St. Synagogue & merged with Adas Israel. Built a synagogue in 1885 at 7th & Columbia. Dedicated larger building at Broad & Diamond in 1912; enlarged and rededicated in 1926. Present Synagogue in Elkins Park was dedicated in 1964. By the early 1880's, had Reform orientation, and by 1900 under rabbi Klein, became Conservative. [Central European & German- speaking]",ethnic_origin,null
1ef846bd-e5ed-41af-a3ba-bcd5f5d1b4a2,Adath Jeshurun,active,1854,1854,null,Active,7th St & Columbia Ave,null,Philadelphia,PA,null,null,null,false,S. Breidenbach,null,null,null,"Founded by Wolf Ettinger and Moses Blumenthal with services held at Horner's Hall, 3rd & Brown. Purchased land in Frankford for a burial ground. In 1865 acquired synagogue building at NewMarket & Noble Sts. from Keneseth Israel . Ten years later moved to the Juliana St. Synagogue & merged with Adas Israel. Built a synagogue in 1885 at 7th & Columbia. Dedicated larger building at Broad & Diamond in 1912; enlarged and rededicated in 1926. Present Synagogue in Elkins Park was dedicated in 1964. By the early 1880's, had Reform orientation, and by 1900 under rabbi Klein, became Conservative. [Central European & German- speaking]",ethnic_origin,null
1ef846bd-e5ed-41af-a3ba-bcd5f5d1b4a2,Adath Jeshurun,active,1854,1854,null,Active,Juliana St,null,Philadelphia,PA,null,null,null,false,S. Breidenbach,null,null,null,"Founded by Wolf Ettinger and Moses Blumenthal with services held at Horner's Hall, 3rd & Brown. Purchased land in Frankford for a burial ground. In 1865 acquired synagogue building at NewMarket & Noble Sts. from Keneseth Israel . Ten years later moved to the Juliana St. Synagogue & merged with Adas Israel. Built a synagogue in 1885 at 7th & Columbia. Dedicated larger building at Broad & Diamond in 1912; enlarged and rededicated in 1926. Present Synagogue in Elkins Park was dedicated in 1964. By the early 1880's, had Reform orientation, and by 1900 under rabbi Klein, became Conservative. [Central European & German- speaking]",ethnic_origin,null
1ef846bd-e5ed-41af-a3ba-bcd5f5d1b4a2,Adath Jeshurun,active,1854,1854,null,Active,New Market & Noble Sts,null,Philadelphia,PA,null,null,null,false,S. Breidenbach,null,null,null,"Founded by Wolf Ettinger and Moses Blumenthal with services held at Horner's Hall, 3rd & Brown. Purchased land in Frankford for a burial ground. In 1865 acquired synagogue building at NewMarket & Noble Sts. from Keneseth Israel . Ten years later moved to the Juliana St. Synagogue & merged with Adas Israel. Built a synagogue in 1885 at 7th & Columbia. Dedicated larger building at Broad & Diamond in 1912; enlarged and rededicated in 1926. Present Synagogue in Elkins Park was dedicated in 1964. By the early 1880's, had Reform orientation, and by 1900 under rabbi Klein, became Conservative. [Central European & German- speaking]",ethnic_origin,null
1ef846bd-e5ed-41af-a3ba-bcd5f5d1b4a2,Adath Jeshurun,active,1854,1854,null,Active,3rd & Brown Sts,null,Philadelphia,PA,null,null,null,false,S. Breidenbach,null,null,null,"Founded by Wolf Ettinger and Moses Blumenthal with services held at Horner's Hall, 3rd & Brown. Purchased land in Frankford for a burial ground. In 1865 acquired synagogue building at NewMarket & Noble Sts. from Keneseth Israel . Ten years later moved to the Juliana St. Synagogue & merged with Adas Israel. Built a synagogue in 1885 at 7th & Columbia. Dedicated larger building at Broad & Diamond in 1912; enlarged and rededicated in 1926. Present Synagogue in Elkins Park was dedicated in 1964. By the early 1880's, had Reform orientation, and by 1900 under rabbi Klein, became Conservative. [Central European & German- speaking]",ethnic_origin,null
1ef846bd-e5ed-41af-a3ba-bcd5f5d1b4a2,Adath Jeshurun,active,1854,1854,null,Active,New Market & Noble Sts,null,Philadelphia,PA,null,null,null,false,Seymour Rosenbloom,null,null,null,"Founded by Wolf Ettinger and Moses Blumenthal with services held at Horner's Hall, 3rd & Brown. Purchased land in Frankford for a burial ground. In 1865 acquired synagogue building at NewMarket & Noble Sts. from Keneseth Israel . Ten years later moved to the Juliana St. Synagogue & merged with Adas Israel. Built a synagogue in 1885 at 7th & Columbia. Dedicated larger building at Broad & Diamond in 1912; enlarged and rededicated in 1926. Present Synagogue in Elkins Park was dedicated in 1964. By the early 1880's, had Reform orientation, and by 1900 under rabbi Klein, became Conservative. [Central European & German- speaking]",ethnic_origin,null
